,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
68,Kikwit,-5.04,18.82,78.51,65,100,3.65
69,Coquimbo,-29.95,-71.34,55.4,82,0,11.41
70,Bluff,-46.6,168.33,52.0,57,0,1.99
71,San Buenaventura,27.08,-101.53,65.17,82,90,11.36
72,Khatanga,71.97,102.5,48.31,77,100,11.59
73,Hervey Bay,-25.3,152.85,66.99,84,100,10.0
74,San Patricio,19.22,-104.7,86.0,74,75,9.17
75,Hithadhoo,-0.6,73.08,81.59,78,71,12.55
76,Cherskiy,68.75,161.3,50.23,59,0,3.49
77,Atar,20.52,-13.05,95.36,22,58,5.19
78,Kaitangata,-46.28,169.85,48.29,52,82,1.7
79,Bathsheba,13.22,-59.52,78.8,83,20,6.93
80,Camacha,33.08,-16.33,71.6,73,40,13.87
81,Mayo,38.89,-76.51,76.6,100,90,4.7
82,Sistranda,63.73,8.83,46.4,87,75,13.87
83,Saskylakh,71.92,114.08,49.82,72,100,3.74
84,Vavuniya,8.75,80.5,78.44,78,90,8.59
85,Diamantino,-14.41,-56.45,86.52,21,42,5.37
86,Badarganj,25.67,89.05,80.06,90,100,7.61
87,Kosa,59.94,55.0,50.14,90,100,12.91
88,Scarborough,54.28,-0.4,50.94,81,91,3.0
89,Provideniya,64.38,-173.3,50.0,81,90,6.71
90,Tūkrah,32.53,20.58,76.28,70,0,11.1
91,Shirokiy,49.76,129.52,60.67,65,0,2.13
92,Aykhal,66.0,111.5,44.6,81,90,2.24
93,Forsytheganj,52.63,29.73,46.74,93,0,6.35
94,Talnakh,69.49,88.4,51.8,87,40,13.42
95,Chiredzi,-21.05,31.67,63.59,63,0,9.1
96,Sibinal,15.13,-92.05,71.85,100,75,2.24
97,Mumford,5.26,-0.76,74.86,90,100,9.64
98,Hermanus,-34.42,19.23,59.0,89,100,8.01
99,Shiyan,32.65,110.78,75.38,69,0,2.75
100,Pangnirtung,66.15,-65.71,35.65,79,0,3.29
101,Butaritari,3.07,172.79,82.62,76,100,17.72
102,Tasiilaq,65.61,-37.64,32.0,96,100,3.36
103,Fomboni,-12.28,43.74,77.16,78,0,18.01
104,Mount Gambier,-37.83,140.77,59.0,72,90,10.29
105,Mitú,1.2,-70.17,73.8,93,81,1.28
106,Homer,59.64,-151.55,55.76,44,1,6.93
107,Constitución,-35.33,-72.42,50.67,83,0,13.47
108,Saint Paul Harbor,57.79,-152.41,62.6,39,1,11.41
109,Bogorodskoye,56.55,37.88,46.06,88,31,14.36
110,Yulara,-25.24,130.99,82.4,18,0,3.36
111,Thompson,55.74,-97.86,53.6,46,20,5.82
112,Araxá,-19.59,-46.94,75.2,36,70,5.82
113,Vilhena,-12.74,-60.15,77.97,27,46,1.83
114,Tahe,52.33,124.73,62.17,59,23,3.87
115,Poum,-20.23,164.02,71.96,70,0,5.68
116,Barrow,71.29,-156.79,39.2,80,90,21.92
117,São João da Barra,-21.64,-41.05,73.11,78,51,23.4
118,Norman Wells,65.28,-126.83,48.2,93,90,13.87
119,Longyearbyen,78.22,15.64,44.6,75,75,13.87
120,Manggar,-2.88,108.27,82.9,75,100,12.1
121,Walvis Bay,-22.96,14.51,65.32,37,0,1.12
122,Tuktoyaktuk,69.45,-133.04,39.2,78,90,12.75
123,Yatou,37.15,122.38,72.54,78,43,11.59
124,Zyryanka,65.75,150.85,54.27,53,84,3.8
125,Henties Bay,-22.12,14.28,60.01,83,0,1.01
126,Nikolskoye,59.7,30.79,52.14,71,75,17.9
127,Okhotsk,59.38,143.3,57.04,48,0,6.8
128,Iqaluit,63.75,-68.51,39.09,64,75,10.29
129,Tiksi,71.69,128.87,48.45,63,100,6.82
130,Shetpe,44.17,52.12,58.15,54,0,3.09
131,Yellowknife,62.46,-114.35,51.89,62,75,10.29
132,Nuuk,64.18,-51.72,37.2,75,2,8.05
133,Tazmalt,36.39,4.4,68.0,82,20,4.7
134,Gillette,44.29,-105.5,60.62,12,1,8.05
135,Muros,42.78,-9.06,68.0,73,11,5.01
136,Lumphat,13.49,106.98,78.55,90,88,0.36
137,São Filipe,14.9,-24.5,80.08,83,88,12.62
138,Benguela,-12.58,13.41,70.25,83,0,4.99
139,Nova Olímpia,-14.8,-57.29,84.51,21,2,2.57
140,Kabalo,-6.05,26.92,74.52,36,0,3.22
141,Malé,4.17,73.51,82.4,83,75,13.87
142,Angoche,-16.23,39.91,71.2,89,0,10.13
143,Lys'va,58.11,57.81,47.17,95,100,7.94
144,Clarence Town,-32.58,151.78,63.55,67,75,13.87
145,Halifax,44.65,-63.57,69.39,100,90,2.24
146,Bellevue,47.61,-122.2,86.36,23,1,8.05
147,Airai,-8.93,125.41,71.73,44,17,5.77
148,The Valley,18.22,-63.06,82.36,70,20,8.05
149,Berlevåg,70.86,29.09,47.34,80,2,7.72
150,Talara,-4.58,-81.27,62.58,88,34,17.74
151,Sandwick,60.0,-1.25,53.6,87,100,19.46
152,Kirakira,-10.45,161.92,83.07,67,97,9.15
153,De-Kastri,51.47,140.78,54.91,78,49,7.81
154,Nioro,13.35,-15.75,76.53,95,100,7.99
155,Arraial do Cabo,-22.97,-42.03,72.45,81,0,25.21
156,Necochea,-38.55,-58.74,51.01,1,16,8.99
157,Nome,64.5,-165.41,50.0,81,90,17.22
158,Ouégoa,-20.35,164.43,75.56,59,2,9.91
159,Chui,-33.7,-53.46,51.01,66,0,5.5
160,La Ronge,55.1,-105.28,57.2,76,90,5.82
161,El Salvador,13.83,-88.92,77.63,83,20,4.7
162,Punta Alta,-38.88,-62.07,57.4,60,12,14.25
163,Sayyan,15.17,44.32,63.05,57,4,0.07
164,Pevek,69.7,170.31,42.33,93,100,4.76
165,Amazar,53.86,120.88,61.95,69,44,3.31
166,Goth Phulji,26.88,67.68,88.18,58,0,7.23
167,Hamilton,39.18,-84.53,76.8,61,75,11.41
168,Ponta do Sol,32.67,-17.1,70.88,64,75,10.29
169,Jérémie,18.65,-74.12,81.72,74,10,1.32
170,Puerto Carreño,6.19,-67.49,78.8,100,75,6.93
171,Bilibino,68.05,166.44,44.71,68,73,1.86
172,Carutapera,-1.2,-46.02,77.99,85,0,7.85
173,Auki,-8.77,160.7,82.83,76,100,1.79
174,Bojnourd,37.47,57.33,64.4,39,0,6.93
175,Huarmey,-10.07,-78.15,60.73,83,16,6.67
176,Vangaindrano,-23.35,47.6,68.72,83,100,3.47
177,West Plains,36.73,-91.85,76.06,61,1,1.92
178,Severo-Kuril'sk,50.68,156.12,52.03,78,100,3.65
179,Botshabelo,-29.27,26.71,55.4,35,0,5.82
180,Mariehamn,60.1,19.93,50.0,81,100,3.36
181,Los Llanos de Aridane,28.66,-17.92,72.03,73,93,13.87
182,Jijiga,9.35,42.8,63.0,64,0,11.95
183,Fushun,41.86,123.92,66.2,93,69,6.71
184,Pumiao,22.75,108.48,78.8,94,40,7.81
185,Lompoc,34.64,-120.46,62.69,82,40,4.7
186,Fare,-16.7,-151.02,79.39,69,54,8.23
187,Bengkulu,-3.8,102.27,77.38,81,90,3.44
188,Dubbo,-32.25,148.62,62.6,51,0,17.22
189,Mar del Plata,-38.0,-57.56,52.2,71,90,6.93
190,Zuwārah,32.93,12.08,78.69,75,0,10.49
191,Pisco,-13.7,-76.22,61.32,77,0,14.99
192,Pemberton,50.32,-122.8,84.2,26,5,2.24
193,Kholtoson,50.3,103.31,51.51,87,99,2.46
194,Avenal,36.0,-120.13,79.23,36,90,5.82
195,Labuhan,-6.88,112.21,81.73,65,2,9.08
196,Libertador General San Martín,-23.81,-64.79,75.99,59,92,3.09
197,Ambilobe,-13.2,49.05,66.04,76,13,3.02
198,Nelson Bay,-32.72,152.15,64.47,67,75,13.87
199,Padang,-0.95,100.35,79.54,68,100,4.29
200,Örnsköldsvik,63.29,18.72,42.8,87,95,14.99
201,Baharly,38.44,57.43,69.15,26,0,6.2
202,Talakan,50.32,130.37,61.25,53,0,2.21
203,Karoi,-16.81,29.69,54.12,46,0,7.09
204,Atambua,-9.11,124.89,82.65,45,66,4.03
205,Lastoursville,-0.81,12.73,72.36,92,100,2.44
206,Lumberton,34.62,-79.01,81.3,88,90,4.7
207,Lebu,-37.62,-73.65,47.77,76,5,12.57
208,Alta Floresta,-9.88,-56.09,81.72,28,16,2.98
209,Sola,-13.88,167.55,84.2,66,75,9.17
210,Margate,51.38,1.39,57.87,51,52,4.21
211,Hofn,64.25,-15.21,48.34,86,100,3.56
212,Kiryat Gat,31.61,34.76,78.49,100,0,7.0
213,Coyhaique,-45.58,-72.07,37.4,85,75,4.7
214,Vila Velha,-20.33,-40.29,73.18,73,0,11.41
215,Souillac,-20.52,57.52,71.6,78,75,13.87
216,Bryan,30.67,-96.37,69.8,83,90,10.29
217,Manono,-7.3,27.42,69.89,34,26,3.24
218,Estelle,29.85,-90.11,86.72,77,35,4.74
219,Pundaguitan,6.37,126.17,85.05,70,41,8.28
220,Christchurch,-43.53,172.63,50.0,66,34,20.8
221,Yamada,39.47,141.95,73.44,88,100,4.25
222,Knysna,-34.04,23.05,57.2,100,100,17.22
223,Upington,-28.45,21.26,62.6,21,0,8.05
224,Mount Isa,-20.73,139.5,84.2,18,0,9.17
225,Nyahururu,0.04,36.37,52.3,88,62,5.12
226,Lagoa,39.05,-27.98,71.85,84,0,7.65
227,Cotonou,6.37,2.42,77.0,88,40,12.75
228,Upernavik,72.79,-56.15,34.5,94,100,14.76
229,Darfield,53.53,-1.38,51.01,86,100,1.01
230,Vao,-22.67,167.48,67.42,70,33,15.95
231,Wajir,1.75,40.06,72.3,79,64,11.74
232,Phanat Nikhom,13.45,101.18,86.86,10,100,6.38
233,Xiuyan,40.29,123.27,68.79,81,10,7.02
234,Seinäjoki,62.79,22.83,45.3,89,89,1.99
235,Clonakilty,51.62,-8.87,54.32,87,75,10.29
236,Najrān,17.49,44.13,77.0,29,0,2.19
237,Innisfail,-17.53,146.03,75.47,62,0,9.78
238,Clyde River,70.47,-68.59,35.6,80,90,4.7
239,Narsaq,60.92,-46.05,42.8,17,0,17.22
240,Sioux Lookout,50.1,-91.92,60.8,63,40,3.36
241,Markova,48.68,24.41,56.89,91,100,3.0
242,Chato,-2.64,31.77,69.13,65,100,4.88
243,Dhone,15.42,77.88,75.56,86,100,5.75
244,Ucluelet,48.93,-125.55,72.5,60,20,4.7
245,Puro,12.48,123.38,85.3,70,50,5.93
246,Keti Bandar,24.14,67.45,81.59,78,14,8.52
247,Ha Giang,22.83,104.98,80.85,83,100,0.58
248,Zhezkazgan,47.8,67.71,51.76,45,100,12.5
249,Kenora,49.82,-94.43,64.2,55,20,3.36
250,Tautira,-17.73,-149.15,80.29,65,75,4.7
251,Guerrero Negro,27.98,-114.06,80.94,50,0,15.64
252,Sunland Park,31.8,-106.58,66.34,48,1,8.05
253,Piotrków Trybunalski,51.41,19.7,48.85,93,38,1.12
254,Claresholm,50.03,-113.59,78.19,19,0,14.99
255,Mago,53.25,140.18,57.79,59,17,3.4
256,Lagdo,9.05,13.73,71.51,96,100,2.75
257,Poreč,45.23,13.59,67.03,82,100,6.93
258,Eureka,40.8,-124.16,63.63,22,42,2.15
259,Svetlaya,46.54,138.33,58.15,79,94,11.77
260,Uvalde,29.37,-99.77,64.44,82,90,6.93
261,Tura,25.52,90.22,75.0,97,100,6.06
262,Hong Kong,22.29,114.16,84.87,74,40,4.7
263,Beringovskiy,63.05,179.32,48.33,92,100,17.02
264,Klaksvík,62.23,-6.59,50.0,100,100,12.75
265,Yerbogachën,61.28,108.01,50.77,70,10,3.78
266,Bambous Virieux,-20.34,57.76,71.8,78,75,13.87
267,Kavaratti,10.57,72.64,81.34,81,100,20.87
268,Atbasar,51.8,68.33,47.03,54,71,8.77
269,Morondava,-20.28,44.28,75.67,61,54,6.62
270,Pizarro,4.95,-77.37,78.21,86,83,4.65
271,Sampit,-2.53,112.95,80.24,86,100,5.55
272,Dauphin,51.15,-100.05,64.4,48,1,10.29
273,Ginda,30.69,78.49,60.44,75,0,4.83
274,Kloulklubed,7.04,134.26,86.0,74,75,6.93
275,San Cristobal,7.77,-72.22,86.0,58,40,2.24
276,Legnica,51.21,16.16,45.91,93,12,1.12
277,Broken Hill,-31.95,141.43,66.2,42,0,23.04
278,Tabou,4.42,-7.35,75.33,85,97,10.89
279,Pecos,31.42,-103.49,57.2,67,90,3.36
280,Grindavik,63.84,-22.43,48.2,100,90,5.82
281,Mlonggo,-6.53,110.7,82.4,65,40,3.36
282,Khorixas,-20.37,14.97,67.33,23,0,9.55
283,Palmer,42.16,-72.33,72.3,100,75,3.58
284,Nanortalik,60.14,-45.24,38.66,72,0,24.16
285,Altay,47.87,88.12,46.35,53,0,0.76
286,Deputatsky,69.3,139.9,51.44,48,0,0.94
287,Cam Ranh,11.92,109.16,87.8,70,20,2.24
288,Hauknes,66.28,14.07,39.2,80,100,5.82
289,Bulgan,48.81,103.53,55.02,84,99,2.17
290,Solano,38.23,-121.95,72.91,49,20,14.99
291,Fengzhen,40.44,113.15,58.35,62,0,11.54
292,Aksarka,66.56,67.8,50.72,90,67,16.04
293,Vanderhoof,54.02,-124.02,75.31,46,0,1.52
294,Contamana,-7.33,-75.02,75.36,83,33,1.54
295,Kshenskiy,51.84,37.71,52.79,83,23,7.94
296,Port Blair,11.67,92.75,82.26,79,100,10.67
297,Tacna,-18.01,-70.25,59.0,79,7,1.01
298,Olinda,-8.01,-34.86,78.8,74,75,16.11
299,Warrington,53.39,-2.58,52.43,71,20,6.93
300,Touros,-5.2,-35.46,75.2,88,20,6.93
301,Bilma,18.69,12.92,92.91,14,1,16.78
302,Blackfoot,43.19,-112.34,70.3,4,0,1.01
303,Ulaangom,49.98,92.07,47.48,52,99,3.89
304,College,64.86,-147.8,45.43,61,75,8.05
305,Orlik,52.52,99.83,36.97,85,94,4.79
306,Ilulissat,69.22,-51.1,32.0,87,0,5.66
307,Shangrao,28.45,117.97,73.85,94,100,0.63
308,Gizo Government Station,-8.1,156.84,81.91,77,34,9.42
309,Médéa,36.26,2.75,69.8,83,40,5.82
310,Turaif,31.67,38.66,77.0,16,0,9.17
311,Badhni Kalān,30.68,75.28,76.01,63,0,4.92
312,Altoona,40.52,-78.39,74.3,89,91,1.28
313,Sobolevo,54.43,31.9,45.63,86,0,10.78
314,Ca Mau,9.18,105.15,83.19,76,100,3.31
315,Preobrazheniye,42.9,133.91,66.49,70,53,15.3
316,Waipawa,-41.41,175.52,50.47,71,63,25.28
317,Alofi,-19.06,-169.92,82.4,83,40,8.05
318,Alice Springs,-23.7,133.88,86.0,19,0,13.87
319,Lüderitz,-26.65,15.16,64.72,54,0,7.05
320,Asău,46.43,26.4,53.01,94,1,4.07
321,Juneau,58.3,-134.42,64.4,52,40,6.93
322,Colares,38.8,-9.45,68.22,28,13,11.01
323,Fairbanks,64.84,-147.72,45.64,61,75,14.99
324,Magadan,59.57,150.8,53.73,55,0,2.86
325,Porto Nacional,-10.71,-48.42,84.2,39,0,6.93
326,Waingapu,-9.66,120.26,84.34,52,69,13.89
327,Banda Aceh,5.56,95.32,79.77,79,94,11.14
328,Mokokchūng,26.33,94.53,67.03,100,100,1.59
329,Temascalcingo,19.92,-100.0,66.99,95,68,1.99
330,Kampot,10.62,104.18,81.37,88,40,2.24
331,Røros,62.57,11.38,32.0,84,100,2.24
332,Steinbach am Taunus,50.17,8.57,59.45,58,0,5.82
333,Hambantota,6.12,81.12,77.0,100,40,6.93
334,Mahenge,-8.68,36.72,61.3,93,3,2.48
335,Krasnyy Chikoy,50.36,108.75,58.68,80,100,1.3
336,Sitka,57.05,-135.33,60.8,63,40,13.87
337,Balad,34.02,44.15,84.96,14,0,6.98
338,Blacksburg,37.23,-80.41,72.73,100,75,0.98
339,Roald,62.58,6.13,50.5,66,94,12.75
340,Salalah,17.02,54.09,78.8,83,40,4.7
341,Golden,39.76,-105.22,47.7,61,90,3.36
342,Big Spring,32.25,-101.48,53.28,87,90,9.17
343,Scicli,36.79,14.7,71.46,68,0,3.36
344,Natchitoches,31.77,-93.13,80.6,83,90,7.67
345,Saint-Leu,-21.15,55.28,64.42,77,75,3.36
346,Zaraza,9.35,-65.32,76.03,91,100,4.85
347,Okha,53.57,142.95,56.43,63,3,12.46
348,Hasaki,35.73,140.83,85.35,74,75,8.05
349,Nantucket,41.28,-70.1,71.78,100,90,10.29
350,Tuatapere,-46.13,167.68,52.0,57,0,1.99
351,Chokwé,-24.53,32.98,62.55,96,55,5.37
352,Shelbyville,35.48,-86.46,76.32,78,1,4.7
353,Doba,8.65,16.85,71.98,95,100,1.7
354,Francia,15.85,-85.58,81.01,86,24,9.73
355,Bac Lieu,9.29,105.72,83.34,73,99,3.09
356,Forst,51.73,14.63,48.33,91,0,3.62
357,Mayumba,-3.43,10.66,74.21,84,100,4.94
358,Bontang,0.13,117.5,81.27,82,100,9.78
359,Faanui,-16.48,-151.75,78.58,73,3,11.83
360,Bud,39.45,-86.18,71.51,83,90,8.05
361,Baykit,61.67,96.37,48.47,79,35,1.16
362,Bonavista,48.65,-53.11,55.99,87,100,12.53
363,Pacific Grove,36.62,-121.92,59.02,93,26,3.33
364,Yangi Marg`ilon,40.43,71.72,66.2,45,0,2.24
365,São Félix do Xingu,-6.64,-51.99,83.16,40,65,2.59
366,Poso,-1.4,120.75,84.13,66,100,6.26
367,Bethel,41.37,-73.41,72.73,94,90,3.18
368,Kambia,9.12,-12.92,73.81,97,93,2.77
369,Zhaoyang,42.68,126.03,63.05,88,99,6.71
370,Sørland,67.67,12.69,48.45,75,88,17.43
371,Mokhsogollokh,61.47,128.92,54.99,59,48,5.21
372,Makaha,21.47,-158.22,88.3,51,1,18.34
373,Matadi,-5.82,13.45,73.35,76,100,5.93
374,Sam Roi Yot,12.27,99.87,78.8,94,40,3.36
375,Mahébourg,-20.41,57.7,71.6,78,75,13.87
376,Bahía Blanca,-38.72,-62.27,58.87,51,8,13.38
377,Uíge,-7.61,15.06,66.33,86,19,3.27
378,Byron Bay,-28.65,153.62,66.88,56,75,17.22
379,Benjamin Constant,-4.38,-70.03,78.8,100,99,3.31
380,Roebourne,-20.78,117.13,88.66,25,0,11.68
381,Rocha,-34.48,-54.33,48.13,64,0,5.64
382,Fowa,8.92,6.4,73.83,91,100,2.64
383,Annau,37.89,58.52,71.6,28,0,11.41
384,Ostrovnoy,68.05,39.51,42.62,87,0,4.41
385,Paraíso,9.84,-83.87,70.09,94,75,5.82
386,Barinas,8.62,-70.21,76.75,86,99,1.34
387,Rome,43.21,-75.46,67.44,77,90,10.29
388,Abu Kamal,34.45,40.92,80.55,19,0,4.54
389,Ürümqi,43.8,87.6,53.6,62,75,4.47
390,Hūn,29.13,15.95,74.77,65,0,7.14
391,Barreirinha,-2.79,-57.07,79.05,73,2,1.63
392,Darnah,32.77,22.64,76.69,77,0,17.07
393,Itarema,-2.92,-39.92,78.04,80,6,17.58
394,Springbok,-29.66,17.89,62.04,32,0,3.53
395,Bandhi,26.59,68.3,80.6,74,0,4.7
396,Banihāl,33.42,75.2,60.04,57,0,2.21
397,San Ignacio,17.16,-89.07,86.5,66,40,4.7
398,Nelson,-41.28,173.28,50.88,61,78,5.99
399,Neerijnen,51.83,5.28,51.26,92,82,1.95
400,Little Current,45.98,-81.92,55.4,76,90,5.82
401,Qixingtai,30.41,111.89,75.81,75,1,8.7
402,Vidim,56.41,103.11,47.34,93,100,6.2
403,Ivoti,-29.59,-51.16,60.01,83,0,1.99
404,Isangel,-19.55,169.27,77.0,69,75,6.93
405,Leshan,29.56,103.76,73.13,71,100,1.66
406,Barra Patuca,15.8,-84.28,82.47,83,1,10.04
407,Puyang,29.46,119.89,71.91,91,100,2.13
408,Kavieng,-2.57,150.8,85.68,64,8,7.78
409,Port Augusta,-32.5,137.77,78.8,31,0,14.99
410,Grand Gaube,-20.01,57.66,72.0,76,26,10.0
411,Noumea,-22.28,166.46,77.0,47,20,14.99
412,Kumul,42.8,93.45,66.25,31,100,21.39
413,Arrondissement de Cahors,44.42,1.33,66.16,72,10,4.7
414,Russell,32.35,-85.2,80.87,69,75,6.93
415,Ixtapa,20.7,-105.2,77.0,100,90,4.7
416,Ushtobe,45.25,77.98,46.89,54,0,13.11
417,Samarai,-10.62,150.67,76.06,80,56,14.5
418,Teknāf,20.86,92.31,80.04,87,99,7.63
419,Pangkalanbuun,-2.68,111.62,83.19,72,99,3.69
420,Minyar,55.07,57.55,46.45,90,45,2.64
421,Tamiahua,21.27,-97.45,80.35,87,10,12.39
422,Ouallam,14.32,2.09,83.97,67,12,12.5
423,Gornopravdinsk,60.05,69.9,49.37,79,100,6.71
424,Saint George,37.1,-113.58,80.82,13,1,8.05
425,Avera,33.19,-82.53,79.72,94,1,3.36
426,Digha,21.68,87.55,81.12,85,61,10.78
427,Kuril'sk,45.23,147.88,55.36,86,73,14.5
428,Pangody,65.85,74.49,54.36,90,60,13.8
429,Warren,39.43,-84.17,75.0,100,40,10.29
430,Venado Tuerto,-33.75,-61.97,63.99,68,0,8.99
431,Havre-St-Pierre,50.23,-63.6,46.4,93,90,4.7
432,Mersing,2.43,103.84,75.2,100,20,2.24
433,Laudio-Llodio,43.14,-2.96,64.38,100,40,2.24
434,Oranjemund,-28.55,16.43,58.03,85,0,6.24
435,Sabancuy,18.97,-91.18,84.45,77,18,10.8
436,Faya,18.39,42.45,68.0,59,0,4.7
437,‘Āhuimanu,21.44,-157.84,83.84,62,20,10.29
438,Rundu,-17.93,19.77,59.0,29,0,4.65
439,Esim,4.87,-2.24,75.4,90,94,8.3
440,Vila Franca do Campo,37.72,-25.43,68.0,88,20,3.36
441,Takaka,-40.85,172.8,57.0,62,13,3.0
442,Ylöjärvi,61.56,23.6,46.49,87,64,6.93
443,Ayan,56.45,138.17,55.18,64,0,5.41
444,Muyezerskiy,63.93,31.65,42.33,94,4,7.45
445,Kishorganj,24.43,90.77,80.55,87,57,9.66
446,Beloha,-25.17,45.05,71.85,66,97,4.76
447,High Level,58.52,-117.14,51.8,100,90,2.24
448,Vardø,70.37,31.11,48.36,78,100,7.18
449,Great Falls,47.5,-111.3,75.99,23,1,8.05
450,Barra do Garças,-15.89,-52.26,79.5,22,0,1.28
451,Salina,38.84,-97.61,53.24,81,90,9.17
452,Codrington,-38.27,141.97,64.0,53,100,4.0
453,Shimoda,34.67,138.95,82.33,88,75,4.7
454,Sept-Îles,50.2,-66.38,45.41,100,75,3.36
455,Abhā,18.22,42.51,67.87,59,0,4.7
456,Rochegda,62.8,43.25,46.17,99,100,4.29
457,Oktyabr'skiy,54.48,53.47,48.99,80,41,7.43
458,Cortez,37.35,-108.59,54.05,50,1,4.7
459,Cabedelo,-6.98,-34.83,75.2,88,75,11.41
460,Trairi,-3.28,-39.27,78.04,78,19,14.07
461,Nueve de Julio,-35.44,-60.88,64.0,77,40,1.99
462,Dvinskoy Bereznik,62.86,42.71,45.18,98,87,3.49
463,West Wendover,40.74,-114.07,71.6,9,1,10.29
464,Tigil',57.8,158.67,55.81,59,31,4.79
465,Mossamedes,-15.2,12.15,66.9,87,39,1.3
466,Broome,42.25,-75.83,67.98,82,75,14.99
467,Kundla,21.33,71.3,77.36,86,99,6.82
468,Sudislavl',57.88,41.71,47.07,91,40,12.71
469,Guozhen,34.37,107.36,73.74,53,25,1.61
470,Sakakah,29.97,40.21,91.4,8,74,10.29
471,Ust'-Ilimsk,58.0,102.66,46.13,89,100,6.26
472,Hanzhong,33.07,107.03,71.04,73,84,2.21
473,Koslan,63.46,48.9,51.35,94,100,8.66
474,Sambava,-14.27,50.17,69.42,81,87,13.71
475,Mehrān,33.12,46.16,69.8,21,0,2.24
476,Moose Factory,51.26,-80.61,53.6,66,40,8.05
477,Khāpa,21.43,78.97,75.2,94,75,1.52
478,Khatassy,61.9,129.64,53.6,54,86,2.24
479,Pareora,-44.49,171.21,51.01,52,1,7.0
